First Name,Last Name,IP Address,Email Address,Delivery Address
Reynold,Watters,127.0.0.1,ReynoldJwatters@aol.com,"2406 Dublin Dr NW, Olympia, WA 98502"
Jeff,Nightingale,73.19.53.44,JNBatman@yahoo.com,"3606 Montrose Ave, Richmond, Virginia 23222"
Greenberg,Mike,192.168.0.1,mg1337@guerillamail.com,
Robert,Smith,,oaksimon@gmail.com,"361 Lake St, Sonoma, CA 95476"
Akira,Ali,162.158.10.41,null,"1225 Majilla Ave, Burlingame, CA 94010 or 877 Apple St, Springfield, IL 62629"
Khadka,Weil,131.122.10.29,null,"871 Live Oak Ln, Apt 101, Nashville, NC 27856"
Okoye,Simon,162.158.1.41,null,"2712 Johnson Frk, Salyersville, KY USA"
Mark,O%27Brian,,mark@obrianfamily.net,"25-27 Wellington Pl, Belfast BT1 6DG, UK"
Mary,Johnson,2001:0000:13 0F:0000:000 0:09C0:876A: 130B,mjohnson92@hotmail.com,"1600 Amphitheatre Parkway Mountain View, CA 94043"
Maura,Ortiz,74.196.54.195,mortiz89@gmial.com,"1912 N 11th St, Boise, ID 83702"
