Date,Time,Rink,Rink Number,Game Number,Division,TEAM 1 ,Score,TEAM 2 ,Score,Official ID,First Name,Last Name,,Pre1,Pre2,Pre3,Post1,Post2,Post3,Post4,Post5,,Min,Max
9/10/21,18:30,Northeast Skate Zone,1,156,14U National,Genesis Hockey Green,1,Blazers 14U A National,4,1221,O,Needy,,,2,3,3,1,2,1,,,1,3
9/10/21,18:30,Northeast Skate Zone,1,156,14U National,Genesis Hockey Green,1,Blazers 14U A National,4,1218,K,Nandy,,,3,2,3,0,3,1,,,0,3
9/11/21,16:15,Aston Ice Works,2,173,14U National,Genesis Hockey Blue,2,Delco Phantoms 14U A Nat,0,1217,J,Nixon,,,1,3,0,3,4,0,,,0,4
9/11/21,16:15,Aston Ice Works,2,173,14U National,Genesis Hockey Blue,2,Delco Phantoms 14U A Nat,0,1231,N,Mustard,,,5,2,4,0,4,4,,,0,5
9/11/21,13:00,Class of '23,1,107,14U American,LV Phantoms 14U A American,2,Snider Hockey 14U A American,8,1214,H,Fairmont,,,3,3,3,2,3,2,,,2,3
9/11/21,13:00,Class of '23,1,107,14U American,LV Phantoms 14U A American,2,Snider Hockey 14U A American,8,1218,K,Nandy,,,3,4,3,3,1,4,,,1,4
9/11/21,13:30,Exton PowerPlay,1,169,14U B National,VF Colonials 14U B National,4,Kings 14U B National,1,1219,L,Neme,,,2,0,2,1,2,1,,,0,2
9/11/21,13:30,Exton PowerPlay,1,169,14U B National,VF Colonials 14U B National,4,Kings 14U B National,1,1222,A,Paul,,,5,4,3,3,4,2,,,2,5
09/11/21,15:15,Exton PowerPlay,1,97,14U AA,Genesis Hockey Club 14U AA,11,Kings 14U AA,3,1225,D,Plate,,,2,2,3,4,1,5,,,1,5
09/11/21,15:15,Exton PowerPlay,1,97,14U AA,Genesis Hockey Club 14U AA,11,Kings 14U AA,3,1224,C,Pinky,,,3,3,3,3,3,3,,,3,3
09/11/21,8:30,Oaks Center Ice,1,50,14U AA,Delco Phantoms 14U AA,2,VF Colonials 14U AA,3,1215,R,Follow,,,2,3,2,4,2,2,,,2,4
09/11/21,8:30,Oaks Center Ice,1,50,14U AA,Delco Phantoms 14U AA,2,VF Colonials 14U AA,3,1226,P,Passion,,,4,4,3,3,3,3,,,3,4
9/11/21,15:30,Oaks Center Ice,3,98,14U American,Delco Phantoms Hahn 14U A AM,1,VF Colonials 14U AAM,6,1220,L,Nump,,,1,4,3,4,0,2,,,0,4
9/11/21,15:30,Oaks Center Ice,3,98,14U American,Delco Phantoms Hahn 14U A AM,1,VF Colonials 14U AAM,6,1214,H,Fairmont,,,3,3,4,2,2,2,,,2,4
09/11/21,17:15,Oaks Center Ice,2,58,14U AA,Team Philadelphia 14U AA,5,VF Colonials 14U AA,4,1216,I,Norm,,,0,1,1,1,1,3,,,0,3
09/11/21,17:15,Oaks Center Ice,2,58,14U AA,Team Philadelphia 14U AA,5,VF Colonials 14U AA,4,1223,B,Postroy,,,4,4,4,5,4,4,,,4,5
9/11/21,14:00,PNY Ice Arena,1,166,14U American,Delaware Ducks 14U A American,9,Quakers 14U A American,2,1220,L,Nump,,,2,1,3,1,3,2,,,1,3
9/11/21,14:00,PNY Ice Arena,1,166,14U American,Delaware Ducks 14U A American,9,Quakers 14U A American,2,1229,Chris,Makos,,,5,2,2,2,1,1,,,1,5
9/11/21,13:15,Steel Ice Center,1,119,14U National,Haverford Hawks 14U A Nat,4,LV Phantoms Youth 14U A National,9,1225,D,Plate,,,1,2,2,1,4,1,,,1,4
9/11/21,13:15,Steel Ice Center,1,119,14U National,Haverford Hawks 14U A Nat,4,LV Phantoms Youth 14U A National,9,1222,A,Paul,,,2,2,2,2,3,3,,,2,3
9/11/21,11:15,Toyota Sports Plex,1,157,14U B National,Royals 14U B National,7,Jr. Pens* 14U B National,1,1217,J,Nixon,,,3,4,2,3,1,3,,,1,4
9/11/21,11:15,Toyota Sports Plex,1,157,14U B National,Royals 14U B National,7,Jr. Pens* 14U B National,1,1226,P,Passion,,,5,5,4,5,4,3,,,3,5
9/11/21,12:45,Twin Ponds East,1,144,14U National,Cap City 14U A Nat,4,Hershey 14U A Nat,1,1212,F,Fairview,,,2,4,3,4,3,3,,,2,4
9/11/21,12:45,Twin Ponds East,1,144,14U National,Cap City 14U A Nat,4,Hershey 14U A Nat,1,1222,A,Paul,,,1,5,5,1,2,3,,,1,5
9/11/21,17:45,Twin Ponds East,2,224,14U American,Kings 14U A American,14,Cap City Vipers 14U A American,2,1211,E,Fella,,,2,3,3,4,3,3,,,2,4
